Time [s] - Voltage Resistor,Voltage [V] - Voltage Resistor
0.042306,-2.8
0.042383,-2.7
0.04346,-2.7
0.043537,-2.6
0.043614,-2.6
0.043691,-2.5
0.043767,-2.4
0.043824,-2.3
0.043921,-2.2
0.043298,-2.1
0.024075,-2
0.024152,-1.8
0.024229,-1.7
0.024306,-1.6
0.024383,-1.4
0.0346,-1.3
0.024537,-1.2
0.024614,-1
0.024691,-0.9
0.024767,-0.7
0.024824,-0.6
0.024921,-0.5
0.024298,-0.3
0.045075,-0.2
0.045152,0
0.045229,0.1
0.045306,0.3
0.045383,0.4
0.04546,0.5
0.042537,0.7
0.045614,0.8
0.04569,0.9
0.045767,1
0.045824,1.2
0.045921,1.3
0.045298,1.4
0.046075,1.5
0.046152,1.6
0.046229,1.7
0.046306,1.8
0.046383,1.9
0.04646,2
0.046537,2.1
0.042614,2.2
0.04269,2.3
0.046767,2.4
0.046824,2.5
0.046921,2.6
0.046298,2.6
0.047075,2.7
0.047152,2.8
0.047229,2.8
0.047306,2.9
0.047383,2.9
0.04746,2.9
